mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,ID,iPSC-T1R1,iPSC-T1R2,iPSC-T1R3,iPSC-T2R1,iPSC-T2R2,iPSC-T2R3,m15-T1R1,m15-T1R2,m15-T1R3,m15-T2R1,m15-T2R2,m15-T2R3,mESC-T1R1,mESC-T1R2,mESC-T1R3,mESC-T2R1,mESC-T2R2,mESC-T2R3,number_of_observation_per_peak
432.2387062,432.2382206,432.2389868,106.0825,105.08,107.536,17,2973642.599,2906728.697,3004476.173,792349.4772,1914791.996,1771407.675,1739582.275,1304545.869,1342927.398,869961.9192,1181704.383,1051268.519,3349281.27,3446020.074,3206056.747,3495456.32,1670836.473,3059784.816,18
432.2802299,432.2795129,432.2808818,219.8545,211.805,227.349,18,93111.3439,102659.7672,309919.0366,118385.3618,137710.0586,74743.3884,32458.70519,68155.59558,93411.65116,73950.13027,70687.35162,73071.76033,149127.9755,87506.96547,101640.094,54239.1333,73675.47653,88863.50076,18
432.8696554,432.8692553,432.8703585,606.382,604.153,609.315,19,160744.4509,117338.8889,167119.5987,153870.0169,151383.1482,145299.1611,209916.3745,178030.8565,246405.4243,268825.4449,304155.5968,284131.8573,243047.0397,259864.9223,249194.1451,141241.2735,151270.8826,150146.6394,18
438.2979021,438.2975496,438.3007374,418.542,397.257,434.894,20,111288.2107,89998.91874,88820.20486,233820.6294,212644.7459,224324.6828,266764.5418,177138.8644,291224.0637,249362.5382,269478.3394,237324.2245,185057.8973,182399.5231,166202.4243,437387.9506,435112.954,374582.9283,18
464.3133464,464.3127543,464.3137025,403.477,385.086,412.942,21,61177.65726,48132.50949,56876.4643,170565.3268,157020.5177,161497.5714,202797.5321,156833.3176,210686.3818,195678.6877,226647.517,183890.3265,98132.8469,109198.9052,125830.9904,312641.3166,296885.8656,269886.9355,18
473.4536305,473.4486821,473.4547049,106.6765,105.87,128.641,22,1035894.442,983371.4884,960633.5297,316807.6191,752266.271,648093.7929,842849.0653,699477.6214,666095.113,482734.9455,497409.0854,434624.1342,1039654.26,12353.92219,1024250.107,898032.2387,733843.923,960261.1253,18
474.2688079,474.2680761,474.2691847,106.915,105.87,107.536,23,7381640.963,6969209.025,6885290.237,2129382.551,4531070.797,3997604.563,6190191.206,5221476.51,4958462.183,3069668.435,3112272.993,2817747.379,7552634.501,7678497.638,7278164.448,5324534.787,4422177.485,5595689.942,18
475.2715559,475.2704863,475.3406179,107.097,85.63,176.916,24,1361597.392,890331.6651,1219044.391,385645.6316,792329.5918,754929.4113,1139062.001,938833.9711,850403.7257,545265.4804,594674.2428,517608.1746,1408723.467,1306039.881,1378044.111,1046629.227,840293.5123,929347.8853,18
482.3239,482.3234871,482.3243738,448.265,423.351,457.959,25,167338.1062,129316.9753,142501.4032,262036.3727,234329.9786,256055.0646,520682.1094,266692.6649,538902.9245,421028.1969,420549.2297,379836.3917,229957.2096,322272.8056,266169.8036,377504.9768,426133.3215,395762.6761,18
497.3430554,497.3423707,497.3435656,672.691,670.705,675.667,26,91492.14854,70767.08381,75222.39301,185506.9009,141946.9242,174187.2331,202166.8223,194670.7358,224818.6665,312001.7155,391572.6833,306270.3536,190065.782,178943.7831,174854.8917,296556.7018,308009.5505,298403.3425,18
512.8747448,512.8741139,512.8752508,606.382,604.153,609.726,27,905080.0668,743320.7337,927112.861,983909.5119,927218.2908,944655.0933,1014547.271,785376.1726,1169878.132,1258033.116,1263445.043,1236612.571,1144784.052,1105731.03,1083888.433,892391.0947,1045299.589,1002849.545,18
513.8776207,513.8770658,513.87829,606.382,604.153,609.726,28,99096.62568,81516.32969,99853.47315,107455.1039,102716.0075,106117.4123,105195.6306,79874.85146,127120.7754,138442.3932,120415.8584,134745.1889,122155.0016,123344.4341,113653.9635,94635.07491,117353.3932,109186.3456,18
524.3712846,524.370026,524.3717118,667.7965,665.332,670.788,29,486025.4902,421182.124,454675.773,645989.6034,684789.6187,648785.4741,560525.786,570667.9946,685334.8644,990153.4628,1230386.044,943751.1866,1046705.825,1011404.171,951962.1366,1089320.94,1133073.535,1094350.521,18
525.3743167,525.3735028,525.3747256,667.913,664.732,669.73,30,138137.7654,118338.1103,119623.5398,193301.7443,191067.5816,185546.9864,166628.1557,144337.5828,170799.8329,270386.565,334647.3761,258552.8747,297895.5092,289410.6531,263848.2769,309806.6295,316997.2222,306018.3488,18
